__________ refers to those attributes of a system visible to a programmer. | Computer architecture
_________ refers to the operational units and their interconnections that realize the architectural specifications| Computer organization
Control signals, interfaces between the computer and peripherals, and the memory technology used are all examples of _________ attributes.| Organizational
The instruction set, the number of bits used to represent various data types, I/O mechanisms and techniques for addressing memory are all examples of _________ attributes.| Architectural
The __________ architecture is the architecture of IBM's mainframe product line.| System/370
_________ is the way in which the components are interrelated.| Structure
_________ is the operation of each individual component as part of the structure.| Function
The basic functions that a computer can perform are: data processing, data movement, control, and _________.| data storage
When data are received from or delivered to a device that is directly connected to the computer, the process is known as __________.| input/output (I/O)
The four main structural components of the computer are: main memory, I/O, system interconnection, and __________.| central processing unit (CPU)
Often referred to as processor the ________ controls the operation of the computer and performs its data processing functions.| central processing unit (CPU)
A common example of system interconnection is by means of a ________, consisting of a number of conducting wires to which all the other components attach| system bus
The major structural components of the CPU are: control unit, register, CPU interconnection, and __________.| arithmetic and logic unit (ALU)
A __________ control unit operates by executing microinstructions that define the functionality of the control unit.| microprogrammed
The _________ controls the operation of the CPU and hence the computer.| control unit
What are the four main components of any general-purpose computer?| main memory, arithmetic and logic unit (ALU), control unit, input and output (I/O) equipment.
At the integrated circuit level, what are the three principal constituents of a computer system?| Gates, memory cells, and interconnections among gates and memory cells.
What is the key distinguishing feature of a microprocessor?| In a microprocessor, all of the components of the CPU are on a single chip.
The ENIAC was designed to help the Army's _________, which was the agency responsible for developing range and trajectory tables for new weapons.| Ballistics Research Laboratory (BRL)
The first task of the __________ was to perform a series of complex calculations that were used to help determine the feasibility of the hydrogen bomb.| ENIAC
The first publication of the idea of the stored-program concept was in a proposal by John von Neumann for a new computer known as the ________.| Electronic Discrete Variable Computer (EDVAC)
The IAS computer consists of a main memory, an ALU, I/O, and a _________.| control unit
The __________ was the first successful commercial computer and was commissioned by the Bureau of the Census for the 1950 calculations.| UNIVAC 1
A __________ is an independent I/O module with its own processor and instruction set.| data channel
The __________ is the central termination point for data channels, the CPU, and memory.| multiplexor
The __________ architecture is used in a wide variety of embedded systems and is one of the most powerful and best-designed RISC-based systems on the market.| ARM
The Intel __________ was the world's first general-purpose microprocessor| 8080
The term __________ system refers to the use of electronics and software within a product, designed to perform a dedicated function, as opposed to a general-purpose computer such as a laptop or desktop system| embedded
__________ chips are the processors in Apple's iPod and iPhone devices.| ARM
A _________ suite is a collection of programs, defined in a high-level language, that together attempt to provide a representative test of a computer in a particular application or system programming area.| benchmark
At the most fundamental level, the speed of a processor is dictated by the pulse frequency produced by the clock, measured in cycles per second, or _________.| Hertz (Hz)
The best-known collection of benchmark suites is defined and maintained by an industry consortium known as __________.| System Performance Evaluation Corporation (SPEC)
__________ law deals with the potential speedup of a program using multiple processors compared to a single processor.| Amdahl's
There is a tremendous variety of products, from single-chip microcomputers costing a few dollars to supercomputers costing tens of millions of dollars that can rightly claim the name "computer".| True
The variety of computer products is exhibited only in cost.| False
Computer organization refers to attributes of a system visible to the programmer.|False
Changes in computer technology are finally slowing down.|False
The textbook for this course is about the structure and function of computers.|True
The number of bits used to represent various data types is an example of an architectural attribute.|True
Interfaces between the computer and peripherals is an example of an organizational attribute.|True
Historically the distinction between architecture and organization has not been an important one.|False
A particular architecture may span many years and encompass a number of different computer models, its organization changing with changing technology.|True
A microcomputer architecture and organization relationship is not very close.|False
Changes in technology not only influence organization but also result in the introduction of more powerful and more complex architectures.|True
The hierarchical nature of complex systems is essential to both their design and their description.|True
Both the structure and functioning of a computer are, in essence, simple.|True
A computer must be able to process, store, move, and control data.|True
When data are moved over longer distances, to or from a remote device, the process is known as data transport.|False
Computer technology is changing at a __________ pace.| rapid
Computer _________ refers to those attributes that have a direct impact on the logical execution of a program.| architecture
Architectural attributes include __________ .| I/O mechanisms
_________ attributes include hardware details transparent to the programmer.| Organizational
It is a(n) _________ design issue whether a computer will have a multiply instruction.|architectural
It is a(n) _________ issue whether the multiply instruction will be implemented by a special multiply unit or by a mechanism that makes repeated use of the add unit of the system.|organizational
A __________ system is a set of interrelated subsystems.| hierarchical
An I/O device is referred to as a __________.|peripheral
When data are moved over longer distances, to or from a remote device, the process is known as __________.| data communications
The _________ stores data.| main memory
The __________ moves data between the computer and its external environment.| I/O
