Which of these following items are benefits of E-Learning? Hint: choose multiple answers (3) - |,lower cost,greater flexibility,more effective learning
How many type of E-Commerce do you know? Typing these names of them! - |
To evaluate, how many dimensions of E-Commerce we will use? - |3
What does C2B stand for? Hint: capitalize the first letter of each word. E.g: if NIC, you need to enter Network Interface Card only. - |consumer-to-business
Match the items on the left with the items on the right - |
Electronic market (e-marketplace) - |An online marketplace where buyers and sellers meet to exchange goods, services, money, or information
Brick-and-mortar organizations - |Old-economy organizations (corporations) that perform their primary business offline, selling physical products by means of physical agents
Virtual (pure-play) organizations - |Organizations that conduct their business activities completely online
Click-and-mortar organizations - |Organizations that conduct some e-commerce activities, usually as an additional marketing channel
How many common types of Revenue model existing in E-Commerce? - |5
How many main steps are existing in a generic purchasing-decision model in E-Commerce? - |5
Select the correct answer from the choices below to fill in blank. Click in to figure to see the blank - |Customize
Choose the right types and activities in knowledge management (KM) Hint: choose multiple answers (6) - |,Create,Capture,Refine,Store,Manage,Disseminate
Select the correct definition of "Spot buying" term from the choices below - |is the purchase of goods and services as they are needed, usually at prevailing market prices
A company allows peoples to watch a sports competition in real-time for a fee. So that company's revenue follows: - |Subscription Model
A technology that is used to electronically transfer routine documents, such as invoices and purchase orders, and for financial transactions is _____. - |electronic data interchange
The most common and traditional form of auctions in which one seller entertains bids from many buyers is referred to as: - |forward auctions.
A mode is purchasing where prices are negotiated or discounted is _____, which refers to nonfixed prices, such as those in auctions or stock markets. - |dynamic pricing
Software tools that scout the Web for stores that sell similar items at low prices are called _____. - |Shopping portals
Broadly, ______ refers to marketing that takes place without intermediaries between manufacturers and buyers; or marketing done online between any seller and buyer. - |direct marketing
To avoid getting false information from participants of online surveys, marketers learn about customers by observing their behavior using each of the following EXCEPT: - |Data mining to analyze clickstream data.
_______ is the direct purchasing from internal marketplaces without the approval of supervisors and without the intervention of a procurement department. - |Desktop purchasing
An exchange that handles materials used by companies in different industries is referred to as a ____________________ - |horizontal exchange
One of the most important issues in implementing e-Government is_________________ - |its adoption and usage by citizens
The major benefit of an DSS is _________________ - |in easier decision making
The primary advantage that e-books offer publishers is: - |lower production, marketing, and delivery costs.
The major enterprise mobile applications are all of the following EXCEPT: - |research and development
Characteristics of mobile devices that create special requirements that hardware and software designers need to anticipate when designing mobile computing systems include all of the following EXCEPT: - |broad bandwidth
