---PRX_ok---
The entities that are used only in DTDs are referred to as | Parameter entities
Which of the following statements are true in the case of XML | XML was designed to describe data
An XML document, which conforms to its DTD, is called a | Valid Document
What does the keyword SYSTEM indicate in the following code? <!DOCTYPE Book SYSTEM "book.dtd"> | Book.dtd is an external DTD
XML uses the features of | SGML
What methods can you use with SAX to handle warnings, errors, and fatal errors? | You use methods such as the warning method to handle warnings, the error method to handle errors, and the fatalError method to handle fatal errors
How can you get a node list of all the <senator> elements in a document? | You can call a Document object's getElementsByTagName method like this: document.getElementsByTagName("senator")
___________ is a term used about text data that will be parsed by the XML parser. | PCDATA
You can append the <child> element to the <element> element by using the <child> element's ____________ method. | appendChild
How can you determine the text in a text node by using SAX? | You can implement the characters method and extract the text node's text from the character array passed to you, using the starting position in the array
What DOM method can you use to determine a node's type? | You can use the node's getNodeType method and check the results it returns against fields such as Node.ELEMENT_NODE, Node.TEXT_NODE, and so on
You can use the Attributes object passed to the _____________ method to handle an element's attributes. | startElement
How to unmarshall XML into Java objects? Convert from XML to Java objects. | JAXBContext context = JAXBContext.newInstance(Cars.class);Unmarshaller u = context.createUnmarshaller(); Cars cars = (Cars) u.unmarshal(new FileInputStream("cars.xml"));
SAX parser has high memory consummation? | False
The StAX cursor API represents ___ | a cursor with which you can walk an XML document from beginning to end
What SAX method(s) do you implement to handle elements? | You can implement the startElement and endElement methods to catch the starting and closing tags of elements
You can implement the ___________method and extract the text node's text from the character array passed to you, using the starting position in the array. The length of the text is also passed to you. | characters
You can implement the ______________and _____________methods to catch the starting and closing tags of elements. | startElement, endElement
Most DOM objects such as XMLDOMAttribute, XMLDOMElement, XMLDOMEntity, XMLDOMComment etc, have several common methods and properties since they are inherited from a common object. Which object is it? | XMLDOMNode
You can use the node's _____________ method and check the results it returns against fields such as Node.ELEMENT_NODE,Node.TEXT_NODE, and so on. | getNodeType
The need of using DTD in developing XML document is | required when validating XML documents
You can create the text in it by using the _____________ method. | createTextNode
You can use the getNodeName method to get a node's name and its _______________ method to get its value. | getNodeValue
Which of these characters can be included within the text in an XML document in literal form? | ; & : -
A descendant having a new namespace cannot override the namespace defined by the parrent element? | False
XML developer has to ensure the uniqueness of the element names and attributes in a document? | True
XML is transformed only via XSLT? | False
Browser has the ability distinguish duplicate element names in an XML document? | False
Which of these is a valid comment in XML? | <!- -This data should be hidden<FIRSTNAME>Joe</FIRSTNAME> <LASTNAME>Johnson</LASTNAME>- ->
What does the keyword SYSTEM indicate in the following code?<?xml version ="1.0"?><!DOCTYPE Book SYSTEM "book.dtd"> | Book.dtd is an external DTD
For each element type associated with a sequence element, there must be an element in the XML instance in the same order? | True
An XML Schema defines whether an element is empty or can include text. | True
The default value for the minOccurs attribute in Schema is 0 | False
Xpath can be thought of as a query language like SQL | True
XSLT takes two things as input: an XSLT stylesheet and an xml input document | True
Tree model is applied to static documents? | False
With reference to the snippet of code given below, choose the correct syntax to complete the second line in order to create a XML Document Object var sample sample = | new ActiveXObject("microsoft.XMLDOM")
SAX support random access | False
What is the value of num after the following statement is performed?num = Math.round( 2.45 ); | 2
What is the value of s3 after the following code is executed?var s1 = one, s2 = two, s3 = three; s1.concat(s2) s3 = s1; | onetwo
What is the correct declaration syntax for the version of an XML document? | <?xml version="1.0" ?>
How is an empty XML element defined? | All of the above.
Which syntax is used to insert comments into an XML document? | <!This is a comment>
What does DTD stand for? | Document Type Definition.
Which statement is true? | All of the above.
Which is not a correct name for an XML documents? | <1dollar>
Which is not a correct name for an XML element? | <first name>
What is a correct way of referring to a stylesheet called "mystyle.xsl"? | <?xmlstylesheet type="text/xsl" href="mystyle.xsl"?>
XML Schema is designed to | be selfdescriptive.
XML Can be used to | Create new language.
XSL stands for: | EXtensible Stylesheet Language
The World Wide Web Consortium (W3C) started to develop XSL because there was a need for: | XMLbased Stylesheet Language
XSL ________ how the XML document should be displayed! | describes
XSL consists of three parts. Which are? | XSLT, Xpath, XSLFO
Templates are been ordered according to their ________ which can be specified with the priority attributte. | priority
An attributes can be accessed in the way similar to the elements. Notice ____ in front of the attribute name. | @
Which of these axes which are used in XSL? | grandparent
A _____ instruction do contains the template, which is been applied to each node selected with the select attribute. | xsl:foreach
The xsl:element generates the elements in at time of processing. | True
The xsl:attribute do generates the elements in the time of processing. | True
The Copy and _______ constructs are used for the nodes copying. | copyof
A _____ function returns number of nodes present in an argument nodeset. | count
It defines the document structure with a list of _______. | legal elements
DTD defines the document structure with a list of legal elements. | True
If the DTD is included in your XML source file, it should be wrapped in a DOCTYPE definition with the following syntax: | <!DOCTYPE rootelement [elementdeclarations]>
If the DTD is external to your XML source file, it should be wrapped in a DOCTYPE definition with the following syntax: | <!DOCTYPE rootelement SYSTEM "filename">
Which of these characters cannot be used as entity references in XML? | $
An element declaration has the following syntax: | <!ELEMENT elementname category>
Elements with only character data are declared with | #PCDATA
________ can validate your XML against a DTD. | Internet Explorer 5.0
An XML Schema describes the structure of an XML _______ . | document
With XML Schemas, the senders can ________ the data in a way that the receiver will understand. | describes
A default value is automatically assigned to the attributes when no other value is specified. | True
XML DOM defines a standard set of objects for XML documents only. | True
The XML DOM is language and platform | independent
The DOM treats the XML document as | treestructure
Each attribute,element and text in the XML document represents a | node in the tree
